System ID, System Name,School ID - School Name,KK-12 % FRL
631,Clayton County, 0277 - Pointe South Middle School,*
631,Clayton County, 0290 - Mount Zion High School,*
631,Clayton County, 0295 - Lake Ridge Elementary School,*
631,Clayton County, 0304 - James Jackson Elementary School,*
631,Clayton County, 0305 - Kemp Elementary School,*
631,Clayton County, 0307 - Unidos Dual Language School,*
631,Clayton County, 0377 - Riverdale High School,*
631,Clayton County, 1050 - Anderson Elementary School,*
631,Clayton County, 1052 - East Clayton Elementary School,*
631,Clayton County, 1054 - Forest Park High School,*
631,Clayton County, 1056 - Jonesboro High School,*
631,Clayton County, 1058 - Lee Street Elementary School,*
631,Clayton County, 1060 - Northcutt Elementary School,*
631,Clayton County, 1062 - Tara Elementary School,*
631,Clayton County, 1550 - Arnold Elementary School,*
631,Clayton County, 2052 - North Clayton High School,*
631,Clayton County, 2054 - Forest Park Middle School,*
631,Clayton County, 2058 - Morrow Elementary School,*
631,Clayton County, 2060 - Riverdale Elementary School,*
631,Clayton County, 2062 - West Clayton Elementary School,*
631,Clayton County, 2554 - Fountain Elementary School,*
631,Clayton County, 3050 - Babb Middle School,*
631,Clayton County, 3052 - North Clayton Middle School,*
631,Clayton County, 3054 - Haynie Elementary School,*
631,Clayton County, 3060 - Riverdale Middle School,*
631,Clayton County, 4050 - Church Street Elementary School,*
631,Clayton County, 4056 - Lake City Elementary School,*
631,Clayton County, 4058 - Morrow High School,*
631,Clayton County, 4060 - Suder Elementary School,*
631,Clayton County, 5052 - Edmonds Elementary School,*
631,Clayton County, 5054 - Huie Elementary School,*
631,Clayton County, 5056 - William M. McGarrah Elementary School,*
631,Clayton County, 5060 - Swint Elementary School,*
631,Clayton County, 0203 - Harper Elementary School,*
631,Clayton County, 0204 - Martin Luther King  Jr. Elementary School,*
631,Clayton County, 0175 - Brown Elementary School,*
631,Clayton County, 0205 - Kemp Primary,*
631,Clayton County, 0173 - Kilpatrick Elementary School,*
631,Clayton County, 0174 - Mundys Mill Middle School,*
632,Clinch County, 0101 - Clinch County Elementary School,83.61
632,Clinch County, 1050 - Clinch County High School,66.52
632,Clinch County, 0201 - Clinch County Middle School,74.22
