norm_name_stu,System name,N Tested Reading,Reading: Mean Scale Score,Reading: % Did not meet the standard,Reading: % Meets the standard,Reading: % Exceeds the standard,Reading: % Met or Exceeded the standard,N Tested ELA,ELA: Mean Scale Score,ELA: % Did not meet the standard,ELA: % Meets the standard,ELA: % Exceeds the standard,ELA: % Met or Exceeded the standard,N Tested Math,Math: Mean Scale Score,Math: % Did not meet the standard,Math: % Meets the standard,Math: % Exceeds the standard,Math: % Met or Exceeded the standard,N Tested Science,Science: Mean Scale Score,Science: % Did not meet the standard,Science: % Meets the standard,Science: % Exceeds the standard,Science: % Met or Exceeded the standard,N Tested Social Studies,Social Studies: Mean Scale Score,Social Studies: % Did not meet the standard,Social Studies: % Meets the standard,Social Studies: % Exceeds the standard,Social Studies: % Met or Exceeded the standard,grade,N tested Reading,N tested ELA,N tested Math,N tested Science,Science: % Does not meet standard,N tested Social Studies,Social Studies: % Does not meet the standard,norm_name_aps,best_match,es.giftedEligibility,activeEnrollment.eip,activeEnrollment.specialEdStatus,posElig.eligibility,gifted_flag,lunch_flag
parkside,ATLANTA PUBLIC SCHOO,104.0,823.68,24.0,51.9,24.0,76.0,104.0,824.58,24.0,51.9,24.0,76.0,104.0,818.81,33.7,46.2,20.2,66.3,104.0,824.83,28.8,40.4,30.8,71.2,104.0,821.71,26.9,50.0,23.1,73.1,3,,,,,,,,parkside,parkside,9,N,N,F,0,1
heritage,ATLANTA PUBLIC SCHOO,96.0,820.97,17.7,67.7,14.6,82.3,96.0,824.26,18.8,59.4,21.9,81.3,96.0,810.53,39.6,41.7,18.8,60.4,96.0,808.16,37.5,53.1,9.4,62.5,96.0,810.78,34.4,59.4,6.3,65.6,3,,,,,,,,heritage acad,heritage,9,N,N,F,0,1
springdale park,ATLANTA PUBLIC SCHOO,60.0,856.63,1.7,30.0,68.3,98.3,59.0,859.2,0.0,28.8,71.2,100.0,61.0,872.75,4.9,19.7,75.4,95.1,61.0,856.51,3.3,27.9,68.9,96.7,60.0,860.87,1.7,28.3,70.0,98.3,3,,,,,,,,springdale pa,springdale park,9,N,N,S,0,0
atlanta preparatory,ATLANTA PUBLIC SCHOO,43.0,817.35,25.6,60.5,14.0,74.4,43.0,817.16,30.2,55.8,14.0,69.8,43.0,798.77,48.8,37.2,14.0,51.2,43.0,806.35,39.5,51.2,9.3,60.5,43.0,803.0,39.5,55.8,4.7,60.5,3,,,,,,,,atlanta prepa,atlanta preparatory,9,N,N,F,0,1
cascade,ATLANTA PUBLIC SCHOO,77.0,821.53,18.2,63.6,18.2,81.8,77.0,824.48,18.2,64.9,16.9,81.8,77.0,813.19,31.2,55.8,13.0,68.8,77.0,811.17,33.8,57.1,9.1,66.2,77.0,815.42,26.0,62.3,11.7,74.0,3,,,,,,,,cascade eleme,cascade,9,N,N,F,0,1
centennial place,ATLANTA PUBLIC SCHOO,78.0,831.74,16.7,52.6,30.8,83.3,78.0,833.76,12.8,55.1,32.1,87.2,78.0,827.01,21.8,55.1,23.1,78.2,79.0,827.86,21.5,53.2,25.3,78.5,79.0,825.7,19.0,57.0,24.1,81.0,3,,,,,,,,centennial pl,centennial place,9,N,N,F,0,1
charles r drew charter,ATLANTA PUBLIC SCHOO,83.0,832.2,7.2,62.7,30.1,92.8,83.0,837.86,6.0,56.6,37.3,94.0,83.0,829.22,15.7,55.4,28.9,84.3,83.0,830.92,10.8,63.9,25.3,89.2,83.0,828.33,12.0,65.1,22.9,88.0,3,,,,,,,,charles r dre,charles r drew charter,9,N,N,F,0,1
hillside,ATLANTA PUBLIC SCHOO,5.0,,,,,,6.0,,,,,,6.0,,,,,,6.0,,,,,,6.0,,,,,,3,,,,,,,,hillside cona,hillside,9,N,Y,S,0,0
perkerson,ATLANTA PUBLIC SCHOO,58.0,813.67,29.3,62.1,8.6,70.7,58.0,811.55,37.9,50.0,12.1,62.1,58.0,800.74,53.4,34.5,12.1,46.6,58.0,800.9,48.3,43.1,8.6,51.7,58.0,800.91,41.4,53.4,5.2,58.6,3,,,,,,,,perkerson ele,perkerson,9,N,N,F,0,1
bolton,ATLANTA PUBLIC SCHOO,61.0,828.08,11.5,67.2,21.3,88.5,61.0,825.03,23.0,50.8,26.2,77.0,62.0,815.79,35.5,41.9,22.6,64.5,62.0,815.6,32.3,53.2,14.5,67.7,60.0,815.82,26.7,60.0,13.3,73.3,3,,,,,,,,bolton academ,bolton,9,N,N,F,0,1
deerwood,ATLANTA PUBLIC SCHOO,99.0,830.77,9.1,62.6,28.3,90.9,99.0,837.03,7.1,54.5,38.4,92.9,99.0,830.26,20.2,47.5,32.3,79.8,99.0,833.75,12.1,56.6,31.3,87.9,99.0,830.02,12.1,63.6,24.2,87.9,3,,,,,,,,deerwood acad,deerwood,9,N,N,F,0,1
burgesspeterson,ATLANTA PUBLIC SCHOO,42.0,831.45,9.5,64.3,26.2,90.5,42.0,833.48,9.5,54.8,35.7,90.5,42.0,822.4,21.4,57.1,21.4,78.6,42.0,835.69,11.9,57.1,31.0,88.1,42.0,822.93,21.4,64.3,14.3,78.6,3,,,,,,,,burgess peter,burgesspeterson,9,N,N,F,0,1
university community,ATLANTA PUBLIC SCHOO,47.0,811.0,38.3,46.8,14.9,61.7,47.0,813.85,34.0,46.8,19.1,66.0,47.0,809.0,42.6,34.0,23.4,57.4,47.0,812.47,42.6,40.4,17.0,57.4,47.0,811.57,40.4,44.7,14.9,59.6,3,,,,,,,,university co,university community,9,N,N,F,0,1
neighborhood charter,ATLANTA PUBLIC SCHOO,60.0,855.9,3.3,35.0,61.7,96.7,60.0,845.97,5.0,45.0,50.0,95.0,60.0,842.13,10.0,43.3,46.7,90.0,60.0,855.98,5.0,31.7,63.3,95.0,59.0,843.41,3.4,52.5,44.1,96.6,3,,,,,,,,neighborhood,neighborhood charter,9,N,N,S,0,0
bazoline usher,ATLANTA PUBLIC SCHOO,71.0,813.9,23.9,62.0,14.1,76.1,71.0,813.97,28.2,56.3,15.5,71.8,71.0,793.96,56.3,33.8,9.9,43.7,71.0,802.38,45.1,47.9,7.0,54.9,71.0,799.79,45.1,52.1,2.8,54.9,3,,,,,,,,bazoline e us,bazoline usher,9,N,N,F,0,1
emma hutchinson,ATLANTA PUBLIC SCHOO,83.0,815.02,24.1,59.0,16.9,75.9,83.0,815.4,27.7,61.4,10.8,72.3,83.0,805.47,48.2,33.7,18.1,51.8,83.0,805.65,41.0,44.6,14.5,59.0,83.0,814.92,33.7,50.6,15.7,66.3,3,,,,,,,,hutchinson el,emma hutchinson,9,N,N,F,0,1
l o kimberly,ATLANTA PUBLIC SCHOO,79.0,811.57,26.6,65.8,7.6,73.4,79.0,811.11,29.1,63.3,7.6,70.9,79.0,797.84,50.6,40.5,8.9,49.4,79.0,803.16,39.2,55.7,5.1,60.8,79.0,799.56,43.0,57.0,0.0,57.0,3,,,,,,,,kimberly,l o kimberly,9,N,N,F,0,1
imagine wesley international,ATLANTA PUBLIC SCHOO,62.0,837.94,9.7,54.8,35.5,90.3,62.0,830.27,9.7,69.4,21.0,90.3,62.0,825.55,19.4,53.2,27.4,80.6,62.0,817.84,24.2,59.7,16.1,75.8,61.0,813.98,23.0,67.2,9.8,77.0,3,,,,,,,,imagine wesle,imagine wesley international,9,N,N,F,0,1
garden hills,ATLANTA PUBLIC SCHOO,89.0,838.06,2.2,66.3,31.5,97.8,89.0,835.96,6.7,60.7,32.6,93.3,90.0,828.61,15.6,53.3,31.1,84.4,90.0,825.8,14.4,72.2,13.3,85.6,89.0,815.56,22.5,68.5,9.0,77.5,3,,,,,,,,garden hills,garden hills,9,N,N,F,0,1
morningside,ATLANTA PUBLIC SCHOO,123.0,857.68,4.9,28.5,66.7,95.1,123.0,854.45,4.1,34.1,61.8,95.9,124.0,860.67,7.3,29.0,63.7,92.7,124.0,861.82,3.2,29.8,66.9,96.8,123.0,850.28,4.9,40.7,54.5,95.1,3,,,,,,,,morningside e,morningside,3,N,N,S,0,0
adamsville,ATLANTA PUBLIC SCHOO,66.0,809.91,31.8,57.6,10.6,68.2,66.0,815.68,31.8,51.5,16.7,68.2,66.0,801.97,43.9,45.5,10.6,56.1,66.0,800.14,50.0,45.5,4.5,50.0,66.0,799.88,40.9,59.1,0.0,59.1,3,,,,,,,,adamsville el,adamsville,9,N,N,F,0,1
connally,ATLANTA PUBLIC SCHOO,87.0,816.61,24.1,64.4,11.5,75.9,87.0,814.92,26.4,59.8,13.8,73.6,87.0,808.69,46.0,33.3,20.7,54.0,87.0,809.83,37.9,49.4,12.6,62.1,86.0,810.28,34.9,51.2,14.0,65.1,3,,,,,,,,connally,connally,9,N,N,F,0,1
east lake,ATLANTA PUBLIC SCHOO,38.0,814.21,31.6,60.5,7.9,68.4,38.0,823.61,21.1,55.3,23.7,78.9,38.0,821.39,23.7,52.6,23.7,76.3,38.0,812.16,34.2,52.6,13.2,65.8,38.0,808.26,31.6,63.2,5.3,68.4,3,,,,,,,,east lake ele,east lake,9,N,N,F,0,1
venetian,ATLANTA PUBLIC SCHOO,70.0,821.8,17.1,62.9,20.0,82.9,71.0,823.83,18.3,63.4,18.3,81.7,71.0,809.52,35.2,50.7,14.1,64.8,71.0,806.63,35.2,54.9,9.9,64.8,71.0,808.54,28.2,66.2,5.6,71.8,3,,,,,,,,venetian hill,venetian,9,N,N,F,0,1
west manor,ATLANTA PUBLIC SCHOO,49.0,841.12,4.1,49.0,46.9,95.9,49.0,846.33,10.2,30.6,59.2,89.8,49.0,834.9,24.5,38.8,36.7,75.5,49.0,836.47,18.4,38.8,42.9,81.6,49.0,823.18,20.4,61.2,18.4,79.6,3,,,,,,,,west manor el,west manor,9,N,N,F,0,1
beecher hills,ATLANTA PUBLIC SCHOO,56.0,826.73,16.1,62.5,21.4,83.9,56.0,828.55,7.1,75.0,17.9,92.9,56.0,823.18,17.9,64.3,17.9,82.1,56.0,823.86,21.4,62.5,16.1,78.6,56.0,823.27,19.6,60.7,19.6,80.4,3,,,,,,,,beecher hills,beecher hills,9,N,N,F,0,1
continental colony,ATLANTA PUBLIC SCHOO,61.0,825.52,9.8,75.4,14.8,90.2,61.0,830.84,11.5,63.9,24.6,88.5,61.0,831.67,9.8,63.9,26.2,90.2,61.0,817.56,19.7,65.6,14.8,80.3,61.0,819.7,13.1,75.4,11.5,86.9,3,,,,,,,,continental c,continental colony,9,N,N,F,0,1
peyton forest,ATLANTA PUBLIC SCHOO,94.0,826.01,17.0,62.8,20.2,83.0,94.0,829.34,12.8,62.8,24.5,87.2,94.0,819.06,26.6,53.2,20.2,73.4,94.0,851.33,7.4,35.1,57.4,92.6,94.0,848.21,4.3,48.9,46.8,95.7,3,,,,,,,,peyton forest,peyton forest,9,N,N,F,0,1
fickett,ATLANTA PUBLIC SCHOO,90.0,830.27,6.7,65.6,27.8,93.3,90.0,829.27,10.0,62.2,27.8,90.0,89.0,819.91,29.2,52.8,18.0,70.8,90.0,821.03,22.2,63.3,14.4,77.8,89.0,817.27,25.8,64.0,10.1,74.2,3,,,,,,,,fickett eleme,fickett,9,N,N,F,0,1
whitefoord,ATLANTA PUBLIC SCHOO,46.0,823.87,19.6,58.7,21.7,80.4,46.0,827.2,17.4,52.2,30.4,82.6,46.0,820.5,23.9,52.2,23.9,76.1,46.0,809.07,39.1,58.7,2.2,60.9,46.0,814.98,30.4,56.5,13.0,69.6,3,,,,,,,,whitefoord el,whitefoord,9,N,N,F,0,1
cleveland avenue,ATLANTA PUBLIC SCHOO,64.0,829.31,18.8,50.0,31.3,81.3,64.0,824.14,15.6,64.1,20.3,84.4,64.0,816.86,21.9,62.5,15.6,78.1,64.0,813.52,31.3,56.3,12.5,68.8,64.0,815.11,31.3,53.1,15.6,68.8,3,,,,,,,,cleveland ele,cleveland avenue,9,N,N,F,0,1
m agnes jones,ATLANTA PUBLIC SCHOO,83.0,819.1,19.3,65.1,15.7,80.7,83.0,819.84,24.1,56.6,19.3,75.9,83.0,813.8,32.5,44.6,22.9,67.5,83.0,815.84,31.3,51.8,16.9,68.7,83.0,803.69,42.2,53.0,4.8,57.8,3,,,,,,,,m a jones ele,m agnes jones,9,N,N,F,0,1
benteen,ATLANTA PUBLIC SCHOO,38.0,812.87,21.1,73.7,5.3,78.9,38.0,818.63,21.1,55.3,23.7,78.9,38.0,803.26,39.5,52.6,7.9,60.5,38.0,802.97,50.0,42.1,7.9,50.0,38.0,800.16,47.4,52.6,0.0,52.6,3,,,,,,,,benteen eleme,benteen,9,N,N,F,0,1
capitol view,ATLANTA PUBLIC SCHOO,70.0,828.26,15.7,57.1,27.1,84.3,70.0,823.4,15.7,57.1,27.1,84.3,70.0,818.79,28.6,52.9,18.6,71.4,70.0,819.01,27.1,54.3,18.6,72.9,70.0,808.47,31.4,67.1,1.4,68.6,3,,,,,,,,capitol view,capitol view,9,N,N,F,0,1
daniel h stanton,ATLANTA PUBLIC SCHOO,50.0,811.08,30.0,62.0,8.0,70.0,50.0,811.52,30.0,56.0,14.0,70.0,50.0,800.0,56.0,36.0,8.0,44.0,50.0,802.36,46.0,48.0,6.0,54.0,50.0,797.64,48.0,50.0,2.0,52.0,3,,,,,,,,d h stanton e,daniel h stanton,9,N,N,F,0,1
thomasville heights,ATLANTA PUBLIC SCHOO,63.0,812.97,19.0,73.0,7.9,81.0,63.0,811.67,33.3,54.0,12.7,66.7,63.0,793.46,60.3,31.7,7.9,39.7,63.0,802.95,46.0,50.8,3.2,54.0,63.0,804.89,34.9,63.5,1.6,65.1,3,,,,,,,,thomasville h,thomasville heights,9,N,N,F,0,1
grove park,ATLANTA PUBLIC SCHOO,85.0,808.08,40.0,50.6,9.4,60.0,85.0,808.18,38.8,49.4,11.8,61.2,85.0,793.58,55.3,40.0,4.7,44.7,85.0,797.29,50.6,44.7,4.7,49.4,85.0,793.82,60.0,37.6,2.4,40.0,3,,,,,,,,grove park el,grove park,9,N,N,F,0,1
joseph humphries,ATLANTA PUBLIC SCHOO,52.0,811.08,30.8,63.5,5.8,69.2,52.0,813.42,28.8,59.6,11.5,71.2,52.0,803.17,44.2,42.3,13.5,55.8,52.0,799.0,42.3,55.8,1.9,57.7,52.0,800.77,50.0,48.1,1.9,50.0,3,,,,,,,,humphries ele,joseph humphries,9,N,N,F,0,1
f lstanton,ATLANTA PUBLIC SCHOO,54.0,812.39,29.6,59.3,11.1,70.4,54.0,818.63,16.7,64.8,18.5,83.3,54.0,802.06,44.4,44.4,11.1,55.6,54.0,805.57,42.6,48.1,9.3,57.4,54.0,800.28,48.1,50.0,1.9,51.9,3,,,,,,,,f l stanton,f lstanton,9,N,N,F,0,1
