Georgia Department Of Education
Free and Reduced Price Meal Eligibility
Free and Reduced Lunch (FRL) - Fiscal Year 2013 Data Report
 
System ID, System Name,School ID - School Name,KK-12 % FRL
610,Berrien County, 0194 - Berrien Middle School,72.05
610,Berrien County, 0106 - Berrien Academy Performance Learning Center,80.77
610,Berrien County, 5050 - Berrien Primary School,74.05
610,Berrien County, 0195 - Berrien Elementary School,67.73
610,Berrien County, 0101 - Berrien High School,60.56
611,Bibb County, 0198 - Westside High School,84.22
611,Bibb County, 5054 - Burghard Elementary School,*
611,Bibb County, 0605 - Heritage Elementary School,72.14
611,Bibb County, 0186 - Central High School,77.12
611,Bibb County, 0298 - Miller Magnet Middle School,84.92
611,Bibb County, 0407 - LakeBridge Behavioral Health System,*
611,Bibb County, 0108 - Ballard Hudson Middle School,*
611,Bibb County, 0203 - Vineville Academy,76.22
611,Bibb County, 0305 - Rutland Middle School,68.83
611,Bibb County, 0805 - Riley Elementary School,*
611,Bibb County, 1205 - Carter Elementary School,57.87
611,Bibb County, 4052 - Barden Elementary School,*
611,Bibb County, 0103 - Skyview Elementary School,58.63
611,Bibb County, 5067 - Rice Elementary School,*
611,Bibb County, 1067 - Porter Elementary School,63.84
611,Bibb County, 0105 - Howard High School,54.4
611,Bibb County, 0109 - Bruce Elementary School,*
611,Bibb County, 1305 - Lane Elementary School,83.61
611,Bibb County, 3060 - Heard Elementary School,59.77
611,Bibb County, 0386 - Southwest High School,93.57
611,Bibb County, 1054 - Bernd Elementary School,93.09
611,Bibb County, 0107 - Bloomfield Middle School,*
611,Bibb County, 2060 - Hartley Elementary School,*
611,Bibb County, 1058 - King - Danforth Elementary School,*
611,Bibb County, 1105 - Springdale Elementary School,29.46
611,Bibb County, 0705 - Union Elementary School,*
611,Bibb County, 0104 - Burdell Elementary School,94.5
611,Bibb County, 1050 - Alexander II Magnet School,49.25
611,Bibb County, 0905 - Morgan Elementary School,*
611,Bibb County, 0205 - Howard Middle School,67.25
611,Bibb County, 0303 - William S. Hutchings Career Center,87.77
611,Bibb County, 0505 - Weaver Middle School,90.26
611,Bibb County, 0307 - Price Academy,93.33
611,Bibb County, 0383 - Williams Elementary School,*
611,Bibb County, 3067 - Ingram/Pye Elementary School,*
611,Bibb County, 3062 - Jones Elementary School,94.39
611,Bibb County, 0405 - Rosa Taylor Elementary School,78.67
611,Bibb County, 5050 - Appling Middle School,93.87
611,Bibb County, 1005 - Brookdale Elementary School,*
611,Bibb County, 0286 - Northeast High School,85.76
611,Bibb County, 0204 - Rutland High School,59.14
612,Bleckley County, 0105 - Bleckley County High School,54.65
612,Bleckley County, 1050 - Bleckley County Primary School,63.47
612,Bleckley County, 0197 - Bleckley County Elementary School,61.35
612,Bleckley County, 0109 - Middle Georgia Wilderness Institute DJJ Facility ,*
612,Bleckley County, 0112 - Bleckley Middle School,58.5
613,Brantley County, 1050 - Brantley County High School,57.47
613,Brantley County, 0110 - Atkinson Elementary School,81.88
613,Brantley County, 0194 - Brantley County Middle School,65.07
613,Brantley County, 3050 - Nahunta Primary School,70.34
613,Brantley County, 0101 - Waynesville Primary School,80.06
613,Brantley County, 2050 - Hoboken Elementary School,60.95
613,Brantley County, 0294 - Nahunta Elementary School,69.03
763,Bremen City, 2050 - Jones Elementary School,32.71
763,Bremen City, 0201 - Bremen High School,23.46
